ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20250017883,2025-05-07,15:50:00,2,Struck Pedestrian,7,Saturday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,821341,1,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Highway,DAREBIN,-37.723873,145.02838,3073.0,True,Reservoir HS,186.7
T20210025200,2021-09-12,16:00:00,1,Collision with vehicle,5,Thursday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,700068,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,DAREBIN,-37.740276,145.0054,3072.0,True,Preston HS,217.8
T20250006008,2025-05-03,15:15:00,2,Struck Pedestrian,4,Wednesday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,816418,1,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,DAREBIN,-37.697067,145.00346,3073.0,True,William Ruthven SC,71.7
T20220002813,2022-08-02,16:46:00,2,Struck Pedestrian,3,Tuesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1,708984,1,0,0,1,1,2,1,5,Not at intersection,3,70,Arterial Other,DAREBIN,-37.694176,145.0038,3073.0,True,William Ruthven SC,272.4
T20240014609,2024-07-06,20:10:00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,3,805360,2,0,0,1,0,1,2,5,Not at intersection,3,40,Local Road,DAREBIN,-37.742344,145.00333,3072.0,True,Preston HS,339.1
T20220022675,2022-08-10,12:23:00,2,Struck Pedestrian,7,Saturday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,1,786673,1,0,1,0,1,2,1,5,Not at intersection,2,999,Local Road,DAREBIN,-37.69967,145.00494,3073.0,True,William Ruthven SC,388.0
T20250012748,2025-12-05,14:40:00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,29781,1,0,1,0,1,2,1,1,Cross intersection,2,40,Local Road,DAREBIN,-37.74037,145.00365,3072.0,True,Preston HS,337.5
T20240020189,2024-09-08,12:10:00,6,Vehicle overturned (no collision),5,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,35664,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,DAREBIN,-37.74107,145.00975,3072.0,True,Preston HS,243.3
T20220000521,2022-09-01,21:35:00,2,Struck Pedestrian,1,Sunday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2,29495,1,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other,DAREBIN,-37.74315,145.00812,3072.0,True,Preston HS,184.5
T20240006443,2024-04-03,16:30:00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,800172,1,0,1,0,1,2,2,5,Not at intersection,2,50,Local Road,DAREBIN,-37.73918,145.00735,3072.0,True,Preston HS,281.1
