ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20230023803,2023-12-10,08:30:00,8,No collision and no object struck,5,Thursday,151,OUT OF CONTROL (OVERTAKING),1,782952,1,0,1,0,0,1,2,5,Not at intersection,2,80,Arterial Highway,MONASH,-37.916508,145.14128,3168.0,True,Preston HS,22731.1
T20240010211,2024-09-04,17:00:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,808648,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,BRIMBANK,-37.7576,144.79138,3023.0,True,Preston HS,19048.6
T20240028305,2024-07-11,11:08:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,810648,1,0,0,1,1,2,1,5,Not at intersection,3,40,Arterial Other,CAMPASPE,-36.31352,145.0498,3620.0,True,William Ruthven SC,153841.0
T20210020724,2021-12-08,19:45:00,6,Vehicle overturned (no collision),5,Thursday,170,OFF CARRIAGEWAY TO LEFT,5,694960,1,0,1,0,0,1,2,5,Not at intersection,2,80,Arterial Other,NILLUMBIK,-37.65138,145.10733,3091.0,True,Reservoir HS,10458.9
T20240031629,2024-10-12,08:45:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,39075,2,0,1,1,1,3,1,2,T intersection,2,60,Arterial Other,BOROONDARA,-37.821938,145.06296,3124.0,True,Preston HS,10183.5
T20230006766,2023-11-03,05:40:00,6,Vehicle overturned (no collision),7,Saturday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),5,762730,1,0,0,1,0,1,2,5,Not at intersection,3,100,Local Road,WODONGA,-36.06606,146.72424,3691.0,True,William Ruthven SC,237281.5
T20230001177,2022-04-12,19:00:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,755703,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,MILDURA,-34.622086,142.26872,3501.0,True,William Ruthven SC,420816.2
T20240008949,2024-10-04,09:02:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,54280,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,MELBOURNE,-37.824665,144.96365,3006.0,True,Preston HS,9984.3
T20250018137,2025-05-07,10:30:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,820117,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road,WHITTLESEA,-37.448784,145.10402,3757.0,True,William Ruthven SC,28952.3
T20250018069,2025-07-07,14:30:00,2,Struck Pedestrian,2,Monday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,823265,1,0,1,0,0,1,2,5,Not at intersection,2,999,Local Road,MONASH,-37.926056,145.11821,3168.0,True,Preston HS,22703.3
T20230011865,2023-06-05,12:00:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,775425,1,0,0,1,0,1,2,5,Not at intersection,3,80,Arterial Highway,ALPINE,-36.757126,147.02185,3741.0,True,Reservoir HS,206462.3
