ACCIDENT_NO,nearest_school,serious_or_fatal,hour,day_of_week,month,is_weekend,is_school_hours,speed_zone_num,is_high_speed_zone,road_geometry_code,no_of_vehicles,light_condition_code,is_dark,dist_to_gate_m,near_school_400m,walk_edges_200m,walk_length_200m,footpath_length_200m,footpath_pct_200m,road_count_200m,arterial_count_200m,arterial_pct_200m,avg_speed_200m,high_speed_road_200m,crossings_200m,signals_200m,crossing_density_200m,walk_edges_400m,walk_length_400m,footpath_length_400m,footpath_pct_400m,road_count_400m,arterial_count_400m,arterial_pct_400m,avg_speed_400m,high_speed_road_400m,crossings_400m,signals_400m,crossing_density_400m,walk_edges_800m,walk_length_800m,footpath_length_800m,footpath_pct_800m,road_count_800m,arterial_count_800m,arterial_pct_800m,avg_speed_800m,high_speed_road_800m,crossings_800m,signals_800m,crossing_density_800m
T20230023803,Preston HS,1,8,3,10,0,1,80,1,5,1,1,0,22731.1,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240010211,Preston HS,0,17,1,4,0,1,50,0,5,2,1,0,19048.6,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240028305,William Ruthven SC,0,11,3,11,0,0,40,0,5,1,1,0,153841.0,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20210020724,Reservoir HS,1,19,3,8,0,0,80,1,5,1,5,1,10458.9,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20240031629,Preston HS,1,8,1,12,0,1,60,1,2,2,1,0,10183.5,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230006766,William Ruthven SC,0,5,5,3,1,0,100,1,5,1,5,1,237281.5,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20230001177,William Ruthven SC,0,19,6,12,1,0,999,1,5,1,2,1,420816.2,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20240008949,Preston HS,1,9,2,4,0,1,60,1,1,2,1,0,9984.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250018137,William Ruthven SC,0,10,5,7,1,0,999,1,2,1,1,0,28952.3,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20250018069,Preston HS,1,14,0,7,0,1,999,1,5,1,1,0,22703.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
